event_candidate_id,stable_id,ticker_at_event,event_date,detected_event_type,evidence_date,evidence_form,evidence_item,evidence_url,evidence_summary,label_status,canonical_event_family,canonical_event_type,R,L,E,C,P,X,score_total,manual_grade,training_role,adjudication_note
CAND-4136915652174669494,permaticker:114205,PNRLY,2020-03-05,volume_crash,2020-02-28,6-K,,https://www.sec.gov/Archives/edgar/data/1725750/000114036120004338/ex99_1.htm,Nasdaq determined to delist the parent's ADSs after its Hartshorne Mining subsidiary filed Chapter 11; suspension was effective March 5 and OTC quotation remained possible.,verified,listing_status,subsidiary_chapter_11_forced_parent_delisting,2,2,1,3,0,-1,7,A,positive_material_after_import_review,"Primary evidence explains the price dislocation, but the bankruptcy scope is a subsidiary and parent securities could continue OTC, so the event is not A++ or S."
CAND-12741967638896184254,permaticker:120880,NINEQ,2026-01-30,bankruptcy_liquidation,2026-05-13,10-Q,,https://www.sec.gov/Archives/edgar/data/1532286/000153228626000008/nine-20260331.htm,"The confirmed plan became effective March 5, 2026; all equity interests outstanding before the effective date, including common stock, were canceled for no consideration, while new common equity was issued to noteholders.",verified,distress_equity_death,common_equity_cancellation,3,3,3,3,0,0,12,S,positive_hard_after_import_review,A 180-day follow-up filing resolves the provisional plan language and proves final old-common cancellation with no consideration.
CAND-1135215191055614836,permaticker:642140,AAM,2026-02-02,bankruptcy_liquidation,2026-01-29,8-K,5.07;8.01;9.01,https://www.sec.gov/Archives/edgar/data/2012964/000121390026009167/ea027457201ex99-1_aamission.htm,The SPAC public shares were canceled only after becoming the right to receive the stated redemption amount.,rejected,corporate_action_redemption,spac_redemption_not_bankruptcy,0,0,0,3,0,-3,0,rejected,rejected_false_positive,"Redemption consideration makes this a corporate-action control, not bankruptcy or equity death."
CAND-16872395767672311354,permaticker:111624,LAZRQ,2025-12-23,bankruptcy_liquidation,2025-12-15,8-K,1.01;1.03;2.04;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1758057/000114036125045494/ef20061234_8k.htm,The company and certain subsidiaries filed voluntary Chapter 11 petitions in the Southern District of Texas.,verified,distress_equity_death,chapter_11,3,3,2,3,0,-1,10,A++,positive_boundary_after_import_review,Primary evidence confirms Chapter 11; retain below S until final old-common recovery or cancellation is proven.
CAND-9876440012269107074,permaticker:198130,ZYXIQ,2025-12-23,bankruptcy_liquidation,2025-12-16,8-K,1.01;1.03;2.03;3.01;9.01,https://www.sec.gov/Archives/edgar/data/846475/000110465925121390/zyxi-20251215x8k.htm,The company and certain subsidiaries filed voluntary Chapter 11 petitions in the Southern District of Texas.,verified,distress_equity_death,chapter_11,3,3,2,3,0,-1,10,A++,positive_boundary_after_import_review,Primary evidence confirms Chapter 11; retain below S until final old-common recovery or cancellation is proven.
CAND-8046291964763551185,permaticker:124332,CLSDQ,2025-11-28,bankruptcy_liquidation,2025-11-25,8-K,1.03;3.01;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1539029/000119312525297177/d41251d8k.htm,The company filed a voluntary Chapter 11 petition in Delaware and continued operating as debtor-in-possession.,verified,distress_equity_death,chapter_11,3,3,2,3,0,-1,10,A++,positive_boundary_after_import_review,Primary evidence confirms Chapter 11; retain below S until final old-common recovery or cancellation is proven.
CAND-4468556589038286587,permaticker:124772,TPIC,2025-08-18,bankruptcy_liquidation,2025-08-11,8-K,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1455684/000117184325005292/f8k_081125.htm,"The company disclosed Chapter 11 and expected that common holders would receive no distributions and that common equity would be canceled under a plan, but the cited filing described an expected future result rather than an effective plan.",verified,distress_equity_death,chapter_11_expected_common_equity_cancellation,3,3,2,3,0,-1,10,A++,positive_boundary_after_import_review,The expected zero recovery is highly material but remains below S until a confirmation order or effective-date filing proves final old-common treatment.
CAND-4322389513802947192,permaticker:640226,NETD,2025-11-25,bankruptcy_liquidation,2025-11-17,8-K,5.07;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1975218/000110465925113270/tm2531498d1_ex99-1.htm,The SPAC public shares were canceled only after becoming the right to receive a stated redemption amount.,rejected,corporate_action_redemption,spac_redemption_not_bankruptcy,0,0,0,3,0,-3,0,rejected,rejected_false_positive,Redemption consideration makes this a corporate-action control rather than bankruptcy or common-equity death.
CAND-6228352734427864307,permaticker:633031,SONDQ,2025-11-21,bankruptcy_liquidation,2025-11-14,8-K,1.02;1.03;2.04;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1819395/000162828025052329/son-20251107.htm,The company and direct and indirect subsidiaries filed voluntary Chapter 7 petitions; the filing describes liquidation and warns common holders could experience a significant or complete loss.,verified,distress_equity_death,chapter_7_legal_liquidation,3,3,3,3,0,0,12,S,positive_hard_after_import_review,Company-wide Chapter 7 is a legal liquidation rather than a rescue-oriented reorganization; it establishes the legal-death boundary even though final distribution amounts were not yet quantified.
CAND-15928765032131933033,permaticker:197693,WOLF2,2025-09-26,bankruptcy_liquidation,2025-09-30,8-K,1.01;1.02;1.03;2.03;3.02;3.03;5.01;5.02;5.03;7.01;9.01,https://www.sec.gov/Archives/edgar/data/895419/000119312525224251/d22768d8k.htm,"The confirmed plan became effective and canceled old common stock, but old common holders received approximately 5% of the new common equity, with possible additional contingent shares.",verified,distress_equity_death,chapter_11_old_common_partial_recovery,3,3,2,3,0,-1,10,A++,positive_boundary_after_import_review,Cancellation language alone must not produce S: explicit new-equity recovery for old holders keeps this as a severe but non-zero-recovery boundary.
CAND-6098080761976099539,permaticker:644316,FLYYQ,2025-09-03,bankruptcy_liquidation,2025-08-29,8-K,1.03;2.04;5.02;7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1498710/000095010325011031/dp233724_8k.htm,"The company and debtor subsidiaries filed voluntary Chapter 11 petitions, triggering defaults and subsequent exchange delisting, without final old-common treatment in the cited evidence.",verified,distress_equity_death,chapter_11,3,3,2,3,0,-1,10,A++,positive_boundary_after_import_review,Primary evidence confirms Chapter 11 and material legal consequences; retain below S until old-common recovery or cancellation is final.
CAND-268594609333315049,permaticker:195444,MODVQ,2025-08-28,bankruptcy_liquidation,2025-12-29,8-K,1.01;1.02;1.03;2.01;3.03;5.01;5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1220754/000143774925038831/modv20251226_8k.htm,"On the plan effective date, all previously issued and outstanding ModivCare equity interests were canceled, released and extinguished for no consideration; new plan securities went to creditors and other entitled parties.",verified,distress_equity_death,common_equity_cancellation,3,3,3,3,0,0,12,S,positive_hard_after_import_review,The effective plan and explicit no-consideration cancellation prove final old-equity death.
CAND-2783738183497966945,permaticker:119370,GORV,2025-11-26,bankruptcy_liquidation,2025-12-01,8-K,1.01;1.03;2.01;2.04;3.03;5.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1721741/000149315225025447/form8-k.htm,"After asset sales, the company assigned all remaining assets for creditors, ceased business operations, filed an effective certificate of dissolution, closed its stock-transfer books and stated that no liquidating distribution was expected and stockholders would suffer a complete loss.",verified,distress_equity_death,corporate_dissolution_no_common_distribution,3,3,3,3,0,0,12,S,positive_hard_after_import_review,"Operational cessation, formal dissolution, creditor assignment and explicit complete stockholder loss jointly prove truth, legal and common-equity death."
CAND-7999905274805167794,permaticker:192942,THR,2026-05-29,delisted,2026-06-01,8-K,1.02;2.01;3.01;3.03;5.01;5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1489096/000110465926068666/tm2616040d1_8k.htm,"Each Thermon common share converted, subject to election and proration, into CECO shares plus $10 cash, $63.89 cash, or CECO shares; the transaction also paid approximately $329.4 million aggregate cash consideration.",rejected,corporate_action_merger,mixed_merger_consideration_delisting,0,0,0,3,0,-3,0,rejected,rejected_false_positive,"The exchange exit followed a completed cash-and-stock merger with explicit consideration, not equity death."
CAND-1552707051806410063,permaticker:195877,CVGW,2026-05-28,delisted,2026-05-29,8-K,1.02;2.01;3.01;3.03;5.01;5.02;9.01,https://www.sec.gov/Archives/edgar/data/1133470/000119312526246170/d334380d8k.htm,"Each Calavo common share converted into 0.9790 Mission Produce shares plus $14.85 cash, with cash for fractional shares; aggregate consideration included about 17.5 million Mission Produce shares and $265.9 million cash.",rejected,corporate_action_merger,mixed_merger_consideration_delisting,0,0,0,3,0,-3,0,rejected,rejected_false_positive,Explicit stock and cash consideration makes the delisting a merger-mechanics control.
CAND-15344324380416809493,permaticker:635557,MCW,2026-05-19,delisted,2026-05-19,8-K,1.01;1.02;2.01;2.03;3.01;3.03;5.02;5.03;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1853513/000119312526229866/d128344d8k.htm,"Each outstanding Mister Car Wash common share was canceled only after converting into the right to receive $7.00 cash, while dissenting shares retained statutory appraisal rights.",rejected,corporate_action_merger,cash_merger_consideration_delisting,0,0,0,3,0,-3,0,rejected,rejected_false_positive,Cancellation wording is transaction mechanics because common holders received explicit cash consideration or appraisal rights.
CAND-647176597931566707,permaticker:197067,GLAE,2021-11-09,volume_crash,2021-11-02,10-Q,,https://www.sec.gov/Archives/edgar/data/1014111/000149315221026988/form10-q.htm,"The selected filing discussed a January 2021 default and a Chapter 11 plan of Adara Enterprises that became effective June 15, 2021; it did not establish a new same-entity hard event near the November 9 price and volume crash.",verified,price_only_control,price_crash_without_contemporaneous_primary_cause,0,0,0,1,3,0,4,C,verified_price_only_control,"Retain the observed market dislocation only as P evidence; the stale subsidiary bankruptcy passage cannot supply R, L or E or upgrade severity."
CAND-9088518226646840089,permaticker:197067,GLAE,2021-11-04,one_day_crash,2021-11-02,10-Q,,https://www.sec.gov/Archives/edgar/data/1014111/000149315221026988/form10-q.htm,"The selected filing discussed a January 2021 default and a Chapter 11 plan of Adara Enterprises that became effective June 15, 2021; it did not establish a new same-entity hard event near the November 4 price crash.",verified,price_only_control,price_crash_without_contemporaneous_primary_cause,0,0,0,1,3,0,4,C,verified_price_only_control,"Retain the observed market dislocation only as P evidence; the stale subsidiary bankruptcy passage cannot supply R, L or E or upgrade severity."
CAND-4061307579315042671,permaticker:642086,ZDAI,2024-11-27,volume_crash,2024-11-27,6-K,,https://www.sec.gov/Archives/edgar/data/1966678/000149315224047935/form6-k.htm,"Nasdaq had identified unpaid listing fees as a possible delisting basis, but the company paid the fees in full on November 26 and Nasdaq notified it on November 27 that the matter was closed; the same-day official evidence therefore contradicts an unresolved delisting cause for the price crash.",verified,price_only_control,price_crash_with_official_compliance_resolution,0,0,0,2,2,-3,1,C,verified_price_only_control,"Keep the observed price dislocation as P evidence only. A resolved listing-fee matter cannot supply negative R, L or E and should be a temporal/refutation control."
CAND-10570589827756975039,permaticker:631094,CLEUF,2025-01-30,volume_crash,2025-01-27,6-K,,https://www.sec.gov/Archives/edgar/data/1775085/000147793225000446/cleu_6k.htm,"The company exchanged 320 million warrants for 240 million newly issued ordinary shares at $0.60 per share; after closing it reported 269,325,176 ordinary shares outstanding, making the exchange shares approximately 89% of post-transaction shares three days before the heavy-volume collapse.",verified,equity_dilution,extreme_warrant_exchange_issuance,2,0,2,2,2,-1,7,A,positive_material_after_import_review,The contemporaneous primary filing supplies a concrete extreme-dilution cause. It is severe but capital-structure-repairable and therefore remains A rather than A++ or S.
CAND-6026108798150667357,permaticker:644656,CGCTU,2026-06-05,delisted,2026-06-10,8-K,2.01;3.01;3.02;3.03;5.01;5.06;8.01;9.01,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_8k.htm,"The business combination completed and the former CGC Class A security was reclassified into successor PubCo Series A common stock, which was approved for Nasdaq listing under the new symbol FAC; the detected CGCTU exchange exit is a SPAC security transition, not a negative company delisting.",rejected,corporate_action_spac,spac_unit_or_security_transition,0,0,0,3,0,-3,0,rejected,rejected_false_positive,Reject the severe-negative label: successor common stock and warrants remained Nasdaq-listed after the business combination.
CAND-14992267727222386633,permaticker:642371,GIGGU,2026-05-22,delisted,2026-05-28,8-K,1.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/2023730/000119312526242343/d23892d8k.htm,"Upon closing the business combination, GigCapital7 units ceased trading while Hadron Energy common stock and public warrants began Nasdaq trading as HDRN and HDRNW; redeeming public holders also received the stated trust-account redemption price.",rejected,corporate_action_spac,spac_unit_termination_successor_listing,0,0,0,3,0,-3,0,rejected,rejected_false_positive,"The unit termination is transaction mechanics with continued successor listings, not company distress or common-equity death."
CAND-4720040640224232326,permaticker:632559,PRTCY,2026-05-20,delisted,2026-04-29,6-K,,https://www.sec.gov/Archives/edgar/data/1782999/000119312526188793/d37980dex991.htm,"PureTech voluntarily ended its Nasdaq ADS listing because most trading, liquidity, price discovery, investors and governance were centered in the United Kingdom; ordinary shares remained listed on the London Stock Exchange and the company cited the cost and administrative burden of a dual listing.",verified,listing_status,voluntary_dual_listing_consolidation,1,0,1,3,0,-2,3,B,positive_boundary_after_import_review,"This is a real but ordinary listing-access reduction with a continuing primary LSE venue, not a forced delisting or severe equity-loss event."
CAND-2058499222157443594,permaticker:110593,MAPS,2026-04-24,voluntarydelisting,2026-04-07,8-K,3.01;4.01;5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1779474/000177947426000015/exhibit991pressrelease4720.htm,"WM Technology voluntarily delisted after citing Nasdaq constraints on cannabis-market strategy, limited investor liquidity and analyst coverage, and ongoing disclosure and regulatory costs; it expected continued quotation through OTC Markets.",verified,listing_status,voluntary_delisting_to_otc,1,0,1,3,0,-1,4,B,positive_boundary_after_import_review,"The venue and liquidity loss are genuine, but the event is board-elected, retains an expected OTC path and does not establish severe operating or equity death."
CAND-8903196904257227382,permaticker:635958,LVROF,2026-02-23,voluntarydelisting,2026-02-13,6-K,,https://www.sec.gov/Archives/edgar/data/1945711/000155485526000081/ex991_1.htm,"Lavoro voluntarily exited Nasdaq amid a challenging Brazilian market, low trading volume, a limited public shareholder base and public-company costs; the company said these conditions reduced liquidity and U.S. capital-market access, with no assurance that an OTC market would exist.",verified,listing_status,voluntary_delisting_low_liquidity_and_cost,2,0,1,3,0,-1,5,A,positive_material_after_import_review,"The official filing supports a material loss of market access and liquidity under operating stress, but the board-elected action remains solvable and below A++ or S."
CAND-4563454894890303713,permaticker:166519,TELFY,2026-01-16,voluntarydelisting,2025-12-17,6-K,,https://www.sec.gov/Archives/edgar/data/814052/000081405225000116/tefdel.htm,"Telefónica voluntarily ended its NYSE ADS listing to reduce administrative burden and cost under its simplification plan; ordinary shares remained on the Spanish exchanges, ADS holders could exchange into those shares, and a Level 1 ADR program was intended to facilitate U.S. OTC trading.",verified,listing_status,voluntary_ads_delisting_with_home_market_continuity,1,0,1,3,0,-2,3,B,positive_boundary_after_import_review,This is a real U.S. venue exit but continuing Spanish liquidity and ADR alternatives make it an ordinary listing-consolidation event rather than severe company damage.
CAND-150623232462061975,permaticker:197211,OMCC,2025-12-31,voluntarydelisting,2025-12-11,8-K,,https://www.sec.gov/Archives/edgar/data/1000045/000143774925037549/omcc20251205_8k.htm,"Old Market Capital cited low trading volume, public-company cost and regulatory burdens, expected annual savings, and a desire to redirect resources; it anticipated OTCID quotation but gave no assurance that an OTC market or trading would continue.",verified,listing_status,voluntary_delisting_low_liquidity_and_cost,2,0,1,3,0,-1,5,A,positive_material_after_import_review,"The filing supports a material and uncertain contraction in public-market access under weak liquidity, while the voluntary and potentially reversible nature keeps it below A++."
CAND-13709716017895286914,permaticker:191850,TTSH,2025-12-26,voluntarydelisting,2025-12-12,8-K,9.01,https://www.sec.gov/Archives/edgar/data/1552800/000114036125045538/ef20061186_ex99-1.htm,"Tile Shop executed a 1-for-3,000 reverse split followed by a matching forward split as a going-dark transaction: holders below 3,000 shares received $6.60 cash per share, continuing holders retained the same share count, and the company proceeded toward Nasdaq delisting and SEC deregistration to save more than $2.4 million annually.",verified,listing_status,going_dark_reverse_forward_split_cashout,1,0,1,3,0,-1,4,B,positive_boundary_after_import_review,Cash-out protection for small holders and unchanged ownership counts for continuing holders prevent an equity-death label; the remaining public-liquidity loss is an ordinary B event.
CAND-17571613542554747953,permaticker:197754,GLBZ,2025-12-22,voluntarydelisting,2025-12-12,8-K,9.01,https://www.sec.gov/Archives/edgar/data/890066/000155278125000461/e25456_ex99-1.htm,"Glen Burnie said likely future Nasdaq non-compliance would inevitably result in delisting, while analyst coverage and active trading were absent and reporting costs were significant; it sought OTCQX quotation but stated there was no guarantee that a broker or trading market would continue.",verified,listing_status,preemptive_delisting_before_likely_noncompliance,2,1,1,3,0,-1,6,A,positive_material_after_import_review,"The action was formally voluntary but preempted expected listing failure and carried uncertain replacement liquidity, making it materially negative but still solvable and below A++."
CAND-1297600486339161736,permaticker:197054,CARV,2025-12-05,voluntarydelisting,2025-11-18,8-K,9.01,https://www.sec.gov/Archives/edgar/data/1016178/000094337425000480/ex99-1_8k111825.htm,Carver voluntarily moved from Nasdaq to expected OTCQX quotation to reduce recurring expense and gain strategic flexibility; it planned to keep annual audited statements and quarterly information available while its regulated bank continued OCC call reporting.,verified,listing_status,voluntary_delisting_to_otcqx,1,0,1,3,0,-1,4,B,positive_boundary_after_import_review,"The Nasdaq exit reduces venue quality and reporting obligations but preserves an expected OTCQX path and ongoing financial disclosure, so it remains B."
CAND-4303250534580480929,permaticker:197282,TAIT,2025-12-03,voluntarydelisting,2025-11-14,8-K,3.01;5.02;9.01,https://www.sec.gov/Archives/edgar/data/942126/000118518525001751/taitex99-1.htm,"Taitron's board concluded that Nasdaq listing, SEC compliance and management-resource costs outweighed the benefits; with fewer than 300 holders it planned deregistration, and said Pink-market quotation depended on market makers with no assurance that trading would continue.",verified,listing_status,voluntary_going_dark_cost_reduction,1,0,1,3,0,-1,4,B,positive_boundary_after_import_review,"The public-market downgrade and reporting loss are real, but no weak operating event, forced listing failure or direct equity impairment was established, so the event remains B."
CAND-12256663154114025570,permaticker:111078,GNFTY,2025-11-19,voluntarydelisting,2025-10-30,6-K,,https://www.sec.gov/Archives/edgar/data/1757064/000117184325006830/exh_991.htm,GENFIT voluntarily removed its Nasdaq ADSs to simplify its corporate structure and improve operating efficiency while stating that Euronext Paris remained its primary regulated market and that its financial foundation was strong.,verified,listing_status,voluntary_ads_delisting_with_home_market_continuity,1,0,1,3,0,-2,3,B,positive_boundary_after_import_review,"A continuing primary Euronext listing and explicit operational-simplification rationale make this an ordinary venue-consolidation event, not severe company or equity damage."
CAND-14777959379397450236,permaticker:198661,LNWO,2025-11-14,voluntarydelisting,2025-10-13,8-K,7.01;9.01,https://www.sec.gov/Archives/edgar/data/750004/000095015725000856/ex99-1.htm,"Light & Wonder consolidated its Nasdaq and ASX dual listing into a sole primary ASX listing to align capital-market presence with its shareholder base and growth plans; holders could convert shares into equivalent ASX-traded CDIs, continue holding for OTC trading, or sell before suspension.",verified,listing_status,voluntary_dual_listing_consolidation,1,0,1,3,0,-2,3,B,positive_boundary_after_import_review,"The deep and liquid ASX replacement market and equivalent CDI conversion preserve centralized liquidity, keeping the Nasdaq exit at B."
CAND-14396268047012593505,permaticker:178908,ACGP,2025-09-04,voluntarydelisting,2025-08-15,8-K,3.01;9.01,https://www.sec.gov/Archives/edgar/data/1642122/000143774925027154/ac20250815_8k.htm,"Associated Capital voluntarily left NYSE and suspended SEC reporting to reduce legal, audit, listing and management costs; it applied for OTCQX quotation and intended continued shareholder information, while acknowledging that continued market making was not guaranteed.",verified,listing_status,voluntary_delisting_to_otcqx,1,0,1,3,0,-1,4,B,positive_boundary_after_import_review,"This is a cost-driven venue downgrade with an intended OTCQX and information path, not evidence of weak operations, forced delisting or common-equity death."
CAND-15940485930948201496,permaticker:642737,SNREY,2025-08-15,voluntarydelisting,2025-07-09,6-K,,https://www.sec.gov/Archives/edgar/data/2021938/000119312525157077/d32934dex991.htm,Sunrise's Nasdaq ADS listing was designed as a roughly nine-month transitional venue after its Liberty Global spin-off; it delisted to streamline reporting and save costs while its Class A shares continued on the SIX Swiss Exchange and ADSs could trade OTC before program termination.,verified,listing_status,transitional_ads_delisting_with_home_market_continuity,1,0,1,3,0,-2,3,B,positive_boundary_after_import_review,The planned short-lived U.S. listing and continuing SIX market show listing consolidation rather than a severe negative corporate event.
CAND-18006376468511070487,permaticker:116510,BROGF,2025-06-18,voluntarydelisting,2025-05-28,6-K,,https://www.sec.gov/Archives/edgar/data/1774983/000121390025048302/ea024363502ex99-1_brooge.htm,"Brooge Energy's board cited the lack of an active market for its securities and the continuing expense, regulatory burden and management attention required by Nasdaq and Exchange Act reporting; the announcement did not identify a continuing home exchange or assured replacement trading venue.",verified,listing_status,voluntary_delisting_no_active_market,2,0,1,3,0,-1,5,A,positive_material_after_import_review,"The filing establishes a material contraction in public-market access rather than mere listing consolidation, but the voluntary and potentially reversible action remains below A++."
CAND-8039792521632705497,permaticker:637535,AREB,2026-05-12,bankruptcy_liquidation,2026-04-29,8-K,1.01;3.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1648087/000149315226019654/ex99-1.htm,"Contemporaneous filings describe a Nasdaq qualification halt and appeal concerning publicly held shares, bid price and stockholders' equity; the company issued shares to cure one deficiency and Nasdaq announced resumed trading. No court insolvency, bankruptcy petition, liquidation or old-common treatment was disclosed in the event window.",rejected,listing_status,nasdaq_qualification_halt_not_bankruptcy,0,0,0,3,0,-3,0,rejected,rejected_false_positive,Reject the Sharadar bankruptcy/liquidation label; the documented event is a listing-compliance dispute and trading halt.
CAND-4148348600600535960,permaticker:111698,UOKAF,2026-03-19,bankruptcy_liquidation,2026-03-19,6-K,,https://www.sec.gov/Archives/edgar/data/1741534/000110465926031749/tm269264d1_ex99-1.htm,Nasdaq ordered suspension because the security closed at $0.10 or less for ten consecutive business days after a prior reverse split and while under panel monitoring; the company sought a hearing and expected OTC trading. No insolvency filing or liquidation was identified.,rejected,listing_status,low_price_suspension_not_bankruptcy,0,0,0,3,0,-3,0,rejected,rejected_false_positive,Reject the bankruptcy/liquidation metadata label and retain the official low-price suspension only as a separate listing-event candidate.
CAND-17904733021796621628,permaticker:110632,BHATF,2026-03-13,bankruptcy_liquidation,2026-03-13,6-K,,https://www.sec.gov/Archives/edgar/data/1759136/000173112226000389/e7426_ex99-1.htm,Nasdaq issued a delisting determination under the Low Priced Stocks Rule after ten consecutive days at or below $0.10 while the company was under a mandatory panel monitor; trading was to be suspended despite appeal. The filing contains no bankruptcy or liquidation proceeding.,rejected,listing_status,low_price_delisting_not_bankruptcy,0,0,0,3,0,-3,0,rejected,rejected_false_positive,"The official cause is listing-rule failure, so the Sharadar bankruptcy/liquidation classification is rejected."
